violation,region,date_range,age_group,gender,cleared_by_charge,diversionary_program,other_cleared_otherwise,total,year,violation_type,youth_adult,population,year_diff
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by adult",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Cultivate, propagate or harvest cannabis by youth or organization",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possess, produce, sell, distribute or import anything for use in production or distribution of illicit cannabis",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Other,Youth,2528132,-4
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Other,Youth,2528132,-4
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Other,Adult,31615827,-4
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Other,Adult,31615827,-4
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Other,Adult,31615827,-4
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Other,Adult,31615827,-4
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Other,Adult,31615827,-4
Use of young person in the commission of a cannabis offence,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Other,Adult,31615827,-4
Other Cannabis Act,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
Other Cannabis Act,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
Other Cannabis Act,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Other Cannabis Act,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Other Cannabis Act,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Other Cannabis Act,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Other Cannabis Act,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Other Cannabis Act,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,3,0,2,5,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired (drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,39,0,10,49,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired (drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,93,0,23,116,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,377,0,79,456,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,147,0,29,176,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,542,0,88,630,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,221,0,55,276,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,715,0,126,841,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (unspecified),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired (unspecified),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired (unspecified),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (unspecified),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (unspecified),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (unspecified),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (unspecified),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired (unspecified),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,0,0,0,0,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,2,0,0,2,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,2,0,0,2,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,2,0,0,2,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,6,0,0,6,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,12,0,0,12,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,2,0,0,2,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing bodily harm (drugs),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,9,0,0,9,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing death (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired causing death (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Drug impaired driving,Youth,2528132,-4
Operation while impaired causing death (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
Operation while impaired causing death (alcohol and drugs),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Drug impaired driving,Adult,31615827,-4
